datetime,MAC Address,SSID,Signal Strength
8-12-2025 14:41:28,D0:4D:C6:F2:A8:C0,eduroam,-76
8-12-2025 14:41:28,D0:4D:C6:F2:ED:A0,eduroam,-76
8-12-2025 14:41:28,D0:4D:C6:F2:FA:10,eduroam,-85
8-12-2025 14:41:28,D0:4D:C6:F2:EA:E0,eduroam,-79
8-12-2025 14:41:28,1C:28:AF:5C:3A:00,eduroam,-71
8-12-2025 14:41:28,D0:4D:C6:F2:99:40,eduroam,-81
8-12-2025 14:41:28,D0:4D:C6:F2:EA:F0,eduroam,-84
8-12-2025 14:41:28,D0:4D:C6:F2:D2:C0,eduroam,-62
8-12-2025 14:41:28,D0:4D:C6:F2:C8:60,eduroam,-65
8-12-2025 14:41:28,D0:4D:C6:F2:99:50,eduroam,-83
8-12-2025 14:41:28,D0:4D:C6:F2:66:C0,eduroam,-70
8-12-2025 14:41:28,D0:4D:C6:F2:ED:B0,eduroam,-73
8-12-2025 14:41:28,1C:28:AF:5B:E9:B0,eduroam,-82
8-12-2025 14:41:28,1C:28:AF:61:E6:A0,eduroam,-66
8-12-2025 14:41:28,D0:4D:C6:F2:A8:D0,eduroam,-84
8-12-2025 14:41:28,D0:4D:C6:F2:D2:D0,eduroam,-62
8-12-2025 14:41:28,D0:4D:C6:F2:66:D0,eduroam,-67
8-12-2025 14:41:28,1C:28:AF:5C:3A:10,eduroam,-75
8-12-2025 14:41:28,D0:4D:C6:F2:C8:70,eduroam,-63
8-12-2025 14:41:28,1C:28:AF:61:E6:B0,eduroam,-65
8-12-2025 14:41:28,1C:28:AF:5B:E9:A0,eduroam,-78
8-12-2025 14:41:28,1C:28:AF:5C:42:90,eduroam,-87
8-12-2025 14:41:30,D0:4D:C6:F2:A8:C0,eduroam,-76
8-12-2025 14:41:30,D0:4D:C6:F2:ED:A0,eduroam,-76
8-12-2025 14:41:30,D0:4D:C6:F2:FA:10,eduroam,-85
8-12-2025 14:41:30,D0:4D:C6:F2:EA:E0,eduroam,-79
8-12-2025 14:41:30,1C:28:AF:5C:3A:00,eduroam,-71
8-12-2025 14:41:30,D0:4D:C6:F2:99:40,eduroam,-81
8-12-2025 14:41:30,D0:4D:C6:F2:EA:F0,eduroam,-84
8-12-2025 14:41:30,D0:4D:C6:F2:D2:C0,eduroam,-62
8-12-2025 14:41:30,D0:4D:C6:F2:C8:60,eduroam,-65
8-12-2025 14:41:30,D0:4D:C6:F2:99:50,eduroam,-83
8-12-2025 14:41:30,D0:4D:C6:F2:66:C0,eduroam,-70
8-12-2025 14:41:30,D0:4D:C6:F2:ED:B0,eduroam,-73
8-12-2025 14:41:30,1C:28:AF:5B:E9:B0,eduroam,-82
8-12-2025 14:41:30,1C:28:AF:61:E6:A0,eduroam,-66
8-12-2025 14:41:30,D0:4D:C6:F2:A8:D0,eduroam,-84
8-12-2025 14:41:30,D0:4D:C6:F2:D2:D0,eduroam,-62
8-12-2025 14:41:30,D0:4D:C6:F2:66:D0,eduroam,-67
8-12-2025 14:41:30,1C:28:AF:5C:3A:10,eduroam,-75
8-12-2025 14:41:30,D0:4D:C6:F2:C8:70,eduroam,-63
8-12-2025 14:41:30,1C:28:AF:61:E6:B0,eduroam,-65
8-12-2025 14:41:30,1C:28:AF:5B:E9:A0,eduroam,-78
8-12-2025 14:41:30,1C:28:AF:5C:42:90,eduroam,-87
