datetime,MAC Address,SSID,Signal Strength
01/12/2025 15:51:28,1C:28:AF:5B:71:60,eduroam,-85
01/12/2025 15:51:28,D0:4D:C6:F2:7E:50,eduroam,-89
01/12/2025 15:51:28,D0:4D:C6:F2:F0:E0,eduroam,-87
01/12/2025 15:51:28,D0:4D:C6:F1:D2:00,eduroam,-78
01/12/2025 15:51:28,D0:4D:C6:F2:9B:C0,eduroam,-78
01/12/2025 15:51:28,D0:4D:C6:F2:02:F0,eduroam,-90
01/12/2025 15:51:28,D0:4D:C6:F2:F0:F0,eduroam,-89
01/12/2025 15:51:28,D0:4D:C6:F2:7E:40,eduroam,-80
01/12/2025 15:51:28,D0:4D:C6:F2:80:20,eduroam,-78
01/12/2025 15:51:28,D0:4D:C6:F2:9B:D0,eduroam,-84
01/12/2025 15:51:28,1C:28:AF:66:5A:00,eduroam,-72
01/12/2025 15:51:28,D0:4D:C6:F2:B0:70,eduroam,-87
01/12/2025 15:51:28,1C:28:AF:5B:71:70,eduroam,-90
01/12/2025 15:51:28,1C:28:AF:66:08:30,eduroam,-81
01/12/2025 15:51:28,D0:4D:C6:F2:BA:F0,eduroam,-87
01/12/2025 15:51:28,D0:4D:C6:F1:33:30,eduroam,-74
01/12/2025 15:51:28,1C:28:AF:62:35:F0,eduroam,-79
01/12/2025 15:51:28,D0:4D:C6:F2:AD:80,eduroam,-79
01/12/2025 15:51:28,1C:28:AF:5B:E9:70,eduroam,-85
01/12/2025 15:51:28,1C:28:AF:5B:E9:60,eduroam,-75
01/12/2025 15:51:28,D0:4D:C6:F2:B0:F0,eduroam,-76
01/12/2025 15:51:28,1C:28:AF:66:5A:10,eduroam,-89
01/12/2025 15:51:28,D0:4D:C6:F2:80:30,eduroam,-90
01/12/2025 15:51:28,D0:4D:C6:F2:02:E0,eduroam,-80
01/12/2025 15:51:28,D0:4D:C6:F2:BA:E0,eduroam,-78
01/12/2025 15:51:28,D0:4D:C6:F2:B0:60,eduroam,-70
01/12/2025 15:51:28,D0:4D:C6:F1:33:20,eduroam,-68
01/12/2025 15:51:28,D0:4D:C6:F2:B0:E0,eduroam,-64
01/12/2025 15:51:28,1C:28:AF:66:08:20,eduroam,-77
01/12/2025 15:51:28,1C:28:AF:62:35:E0,eduroam,-64
01/12/2025 15:51:34,1C:28:AF:5B:71:60,eduroam,-85
01/12/2025 15:51:34,D0:4D:C6:F2:7E:50,eduroam,-89
01/12/2025 15:51:34,D0:4D:C6:F2:F0:E0,eduroam,-84
01/12/2025 15:51:34,D0:4D:C6:F1:D2:00,eduroam,-78
01/12/2025 15:51:34,D0:4D:C6:F2:9B:C0,eduroam,-78
01/12/2025 15:51:34,D0:4D:C6:F2:02:F0,eduroam,-90
01/12/2025 15:51:34,D0:4D:C6:F2:F0:F0,eduroam,-89
01/12/2025 15:51:34,D0:4D:C6:F2:7E:40,eduroam,-79
01/12/2025 15:51:34,D0:4D:C6:F2:80:20,eduroam,-78
01/12/2025 15:51:34,D0:4D:C6:F2:9B:D0,eduroam,-88
01/12/2025 15:51:34,1C:28:AF:66:5A:00,eduroam,-72
01/12/2025 15:51:34,D0:4D:C6:F2:B0:70,eduroam,-82
01/12/2025 15:51:34,1C:28:AF:5B:71:70,eduroam,-90
01/12/2025 15:51:34,1C:28:AF:66:08:30,eduroam,-81
01/12/2025 15:51:34,D0:4D:C6:F2:BA:F0,eduroam,-87
01/12/2025 15:51:34,D0:4D:C6:F1:33:30,eduroam,-75
01/12/2025 15:51:34,1C:28:AF:62:35:F0,eduroam,-79
01/12/2025 15:51:34,D0:4D:C6:F2:AD:80,eduroam,-79
01/12/2025 15:51:34,1C:28:AF:5B:E9:70,eduroam,-84
01/12/2025 15:51:34,1C:28:AF:5B:E9:60,eduroam,-75
01/12/2025 15:51:34,D0:4D:C6:F2:B0:F0,eduroam,-76
01/12/2025 15:51:34,1C:28:AF:66:5A:10,eduroam,-86
01/12/2025 15:51:34,D0:4D:C6:F2:80:30,eduroam,-90
01/12/2025 15:51:34,D0:4D:C6:F2:02:E0,eduroam,-80
