datetime,MAC Address,SSID,Signal Strength
03/12/2025 12:37:06,D0:4D:C6:F2:D4:D0,eduroam,-88
03/12/2025 12:37:06,D0:4D:C6:F2:B9:A0,eduroam,-57
03/12/2025 12:37:06,D0:4D:C6:F2:BF:50,eduroam,-79
03/12/2025 12:37:06,D0:4D:C6:F2:98:D0,eduroam,-90
03/12/2025 12:37:06,D0:4D:C6:F2:C5:E0,eduroam,-79
03/12/2025 12:37:06,D0:4D:C6:F2:A2:B0,eduroam,-90
03/12/2025 12:37:06,D0:4D:C6:F2:FE:10,eduroam,-80
03/12/2025 12:37:06,D0:4D:C6:F2:F4:B0,eduroam,-87
03/12/2025 12:37:06,D0:4D:C6:F3:14:D0,eduroam,-78
03/12/2025 12:37:06,D0:4D:C6:F2:C7:F0,eduroam,-75
03/12/2025 12:37:06,1C:28:AF:5B:FA:30,eduroam,-49
03/12/2025 12:37:06,D0:4D:C6:F2:B5:50,eduroam,-78
03/12/2025 12:37:06,1C:28:AF:5B:83:F0,eduroam,-62
03/12/2025 12:37:06,D0:4D:C6:F2:9A:70,eduroam,-83
03/12/2025 12:37:06,D0:4D:C6:F2:7B:F0,eduroam,-79
03/12/2025 12:37:06,D0:4D:C6:F2:87:90,eduroam,-78
03/12/2025 12:37:06,D0:4D:C6:F2:FE:00,eduroam,-70
03/12/2025 12:37:06,1C:28:AF:5B:FA:20,eduroam,-50
03/12/2025 12:37:06,1C:28:AF:5B:83:E0,eduroam,-59
03/12/2025 12:37:06,D0:4D:C6:F3:14:C0,eduroam,-69
03/12/2025 12:37:06,D0:4D:C6:F2:7B:E0,eduroam,-63
03/12/2025 12:37:06,D0:4D:C6:F2:B5:40,eduroam,-77
03/12/2025 12:37:06,D0:4D:C6:F2:B9:B0,eduroam,-60
03/12/2025 12:37:06,D0:4D:C6:F2:C5:F0,eduroam,-80
03/12/2025 12:37:11,D0:4D:C6:F2:C7:E0,eduroam,-66
03/12/2025 12:37:11,D0:4D:C6:F2:D4:D0,eduroam,-88
03/12/2025 12:37:11,D0:4D:C6:F2:B9:A0,eduroam,-56
03/12/2025 12:37:11,D0:4D:C6:F2:BF:50,eduroam,-84
03/12/2025 12:37:11,D0:4D:C6:F2:98:D0,eduroam,-90
03/12/2025 12:37:11,D0:4D:C6:F2:C5:E0,eduroam,-79
03/12/2025 12:37:11,D0:4D:C6:F2:A2:B0,eduroam,-90
03/12/2025 12:37:11,D0:4D:C6:F2:FE:10,eduroam,-80
03/12/2025 12:37:11,D0:4D:C6:F2:F4:B0,eduroam,-87
03/12/2025 12:37:11,D0:4D:C6:F3:14:D0,eduroam,-78
03/12/2025 12:37:11,D0:4D:C6:F2:C7:F0,eduroam,-77
03/12/2025 12:37:11,1C:28:AF:5B:FA:30,eduroam,-49
03/12/2025 12:37:11,D0:4D:C6:F2:B5:50,eduroam,-75
03/12/2025 12:37:11,1C:28:AF:5B:83:F0,eduroam,-60
03/12/2025 12:37:11,D0:4D:C6:F2:9A:70,eduroam,-87
03/12/2025 12:37:11,D0:4D:C6:F2:7B:F0,eduroam,-75
03/12/2025 12:37:11,D0:4D:C6:F2:87:90,eduroam,-78
03/12/2025 12:37:11,D0:4D:C6:F2:FE:00,eduroam,-67
03/12/2025 12:37:11,1C:28:AF:5B:FA:20,eduroam,-48
03/12/2025 12:37:11,1C:28:AF:5B:83:E0,eduroam,-59
03/12/2025 12:37:11,D0:4D:C6:F3:14:C0,eduroam,-69
03/12/2025 12:37:11,D0:4D:C6:F2:7B:E0,eduroam,-63
03/12/2025 12:37:11,D0:4D:C6:F2:B5:40,eduroam,-77
03/12/2025 12:37:11,D0:4D:C6:F2:B9:B0,eduroam,-62
03/12/2025 12:37:11,D0:4D:C6:F2:C5:F0,eduroam,-79
03/12/2025 12:37:16,D0:4D:C6:F2:C7:E0,eduroam,-66
03/12/2025 12:37:16,D0:4D:C6:F2:D4:D0,eduroam,-89
03/12/2025 12:37:16,D0:4D:C6:F2:B9:A0,eduroam,-57
03/12/2025 12:37:16,D0:4D:C6:F2:BF:50,eduroam,-80
03/12/2025 12:37:16,D0:4D:C6:F2:98:D0,eduroam,-89
03/12/2025 12:37:16,D0:4D:C6:F2:C5:E0,eduroam,-79
03/12/2025 12:37:16,D0:4D:C6:F2:A2:B0,eduroam,-90
03/12/2025 12:37:16,D0:4D:C6:F2:FE:10,eduroam,-80
03/12/2025 12:37:16,D0:4D:C6:F2:F4:B0,eduroam,-87
03/12/2025 12:37:16,D0:4D:C6:F3:14:D0,eduroam,-78
03/12/2025 12:37:16,D0:4D:C6:F2:C7:F0,eduroam,-69
03/12/2025 12:37:16,1C:28:AF:5B:FA:30,eduroam,-49
03/12/2025 12:37:16,D0:4D:C6:F2:B5:50,eduroam,-75
03/12/2025 12:37:16,1C:28:AF:5B:83:F0,eduroam,-62
03/12/2025 12:37:16,D0:4D:C6:F2:9A:70,eduroam,-83
03/12/2025 12:37:16,D0:4D:C6:F2:7B:F0,eduroam,-78
03/12/2025 12:37:16,D0:4D:C6:F2:87:90,eduroam,-77
03/12/2025 12:37:16,D0:4D:C6:F2:FE:00,eduroam,-67
03/12/2025 12:37:16,1C:28:AF:5B:FA:20,eduroam,-51
03/12/2025 12:37:16,1C:28:AF:5B:83:E0,eduroam,-57
03/12/2025 12:37:16,D0:4D:C6:F3:14:C0,eduroam,-69
03/12/2025 12:37:16,D0:4D:C6:F2:7B:E0,eduroam,-63
03/12/2025 12:37:16,D0:4D:C6:F2:B5:40,eduroam,-77
03/12/2025 12:37:16,D0:4D:C6:F2:B9:B0,eduroam,-60
03/12/2025 12:37:16,D0:4D:C6:F2:C5:F0,eduroam,-82
